glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.88.1-1
glib2-devel 2.88.1-1
glibc 2.43+r22+g8362e8ce10b2-2
glibmm 2.66.8-1
glibmm-2.68 2.88.0-1
glm 1.0.3-1
glslang 1:1.4.350.0-1
glu 9.0.3-3
glusterfs 1:11.2-2
glycin 2.1.1-1
gmni 1.0-3
gmp 6.3.0-3
gn 0.2385.9ece3f52-1
gnome-desktop 1:44.5-1
gnome-desktop-common 1:44.5-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-2
go 2:1.26.3-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
godot 4.6.3-1
google-glog 0.7.1-2
gparted 1.8.1-1
gperf 3.3-2
gperftools 2.18.1-1
gpgme 2.1.0-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
granite 1:6.2.0-1
granite7 7.8.1-1
graphene 1.10.8-2
graphite 1:1.3.14-6
graphviz 14.1.5-1
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
groovy 5.0.4-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsl 2.8-1
gsm 1.0.24-1
gssdp 1.6.5-1
gst-plugin-pipewire 1:1.6.6-1
gst-plugins-bad 1.28.3-1
gst-plugins-bad-libs 1.28.3-1
gst-plugins-base 1.28.3-1
gst-plugins-base-libs 1.28.3-1
gst-plugins-good 1.28.3-1
gstreamer 1.28.3-1
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gts 0.7.6.121130-5
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gvfs-mtp 1.60.0-2
